base,intersect to,T,det,signature,matrix
2,16,11,81,1,-2 1 0 0 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 0 1 -1 1 1 1;0 0 0 0 0 0 0 0 1 -9 0 -7;0 0 0 0 0 0 0 0 1 0 -1 1;0 0 0 0 0 0 0 0 1 -7 1 -1
2,17,12,-100,1,-2 1 0 0 0 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 0 0 1 -1 1 1 1;0 0 0 0 0 0 0 0 0 1 -10 0 -8;0 0 0 0 0 0 0 0 0 1 0 -1 1;0 0 0 0 0 0 0 0 0 1 -8 1 -2
2,18,13,121,1,-2 1 0 0 0 0 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 0 0 0 1 -1 1 1 1;0 0 0 0 0 0 0 0 0 0 1 -11 0 -9;0 0 0 0 0 0 0 0 0 0 1 0 -1 1;0 0 0 0 0 0 0 0 0 0 1 -9 1 -3
2,19,14,-144,1,-2 1 0 0 0 0 0 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0 0 0 0 0;0 0 0 0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 0 0 0 0 1 -1 1 1 1;0 0 0 0 0 0 0 0 0 0 0 1 -12 0 -10;0 0 0 0 0 0 0 0 0 0 0 1 0 -1 1;0 0 0 0 0 0 0 0 0 0 0 1 -10 1 -4
2,20,2,-1,1,0 1 2;1 -1 1;2 1 8
3,1,2,-1,1,0 1 2;1 -1 1;2 1 8
3,2,5,9,1,-3 1 0 0 0 -1;1 -1 1 0 1 1;0 1 -2 1 0 0;0 0 1 -2 0 0;0 1 0 0 -1 1;-1 1 0 0 1 5
3,3,4,-4,1,-2 1 0 0 0;1 -1 1 1 1;0 1 -2 0 0;0 1 0 -1 1;0 1 0 1 6
3,4,6,-25,1,-2 1 0 0 0 0 0;1 -3 1 0 0 0 -1;0 1 -1 1 0 1 1;0 0 1 -2 1 0 0;0 0 0 1 -3 0 -1;0 0 1 0 0 -1 1;0 -1 1 0 -1 1 4
3,5,5,9,1,-2 1 0 0 0 0;1 -2 1 0 0 0;0 1 -1 1 1 1;0 0 1 -3 0 -1;0 0 1 0 -1 1;0 0 1 -1 1 5
3,6,7,49,1,-2 1 0 0 0 0 0 0;1 -2 1 0 0 0 0 0;0 1 -3 1 0 0 0 -1;0 0 1 -1 1 0 1 1;0 0 0 1 -2 1 0 0;0 0 0 0 1 -4 0 -2;0 0 0 1 0 0 -1 1;0 0 -1 1 0 -2 1 3
3,7,6,-16,1,-2 1 0 0 0 0 0;1 -2 1 0 0 0 0;0 1 -2 1 0 0 0;0 0 1 -1 1 1 1;0 0 0 1 -4 0 -2;0 0 0 1 0 -1 1;0 0 0 1 -2 1 4
